Test_Scenario_ID,TC_ID,GroupID,Index,Name,EventType,MAC,Port,VlanValid,VlanID,Address,Value,Mask,Expected,Timeout
0,0,init_fdb_only,0,FDB_Initialize,FdbInitialize,-,-,-,-,-,-,-,-,-
0,0,init_learning_basic,0,FDB_Initialize,FdbInitialize,-,-,-,-,-,-,-,-,-
0,0,init_learning_basic,1,MAC_Learning_Enable,RegWrite,-,-,-,-,0x44A00A0C,0x00000003,-,-,-
0,0,init_learning_aging_6s,0,FDB_Initialize,FdbInitialize,-,-,-,-,-,-,-,-,-
0,0,init_learning_aging_6s,1,MAC_Learning_Enable,RegWrite,-,-,-,-,0x44A00A0C,0x00000013,-,-,-
0,0,init_learning_aging_6s,2,Set_Aging_Threshold,RegWrite,-,-,-,-,0x44A00A14,0x00000032,-,-,-
0,0,init_unicast_fdb,0,FDB_Initialize,FdbInitialize,-,-,-,-,-,-,-,-,-
0,0,init_unicast_fdb,1,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:60,0b000001,FALSE,-,-,-,-,-,-
0,0,init_unicast_fdb,2,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:61,0b000010,FALSE,-,-,-,-,-,-
0,0,init_unicast_fdb,3,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:62,0b000100,FALSE,-,-,-,-,-,-
0,0,init_unicast_fdb,4,MAC_FDB_Write,FdbWrite,A0:36:9F:A8:DA:63,0b001000,FALSE,-,-,-,-,-,-
0,0,init_unicast_fdb,5,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:19,0b010000,FALSE,-,-,-,-,-,-
0,0,init_unicast_fdb,6,MAC_FDB_Write,FdbWrite,6C:B3:11:1C:18:18,0b100000,FALSE,-,-,-,-,-,-
0,0,init_vlan_10_20,0,FDB_Initialize,FdbInitialize,-,-,-,-,-,-,-,-,-
0,0,init_vlan_10_20,1,Set_VLAN_10,RegWrite,-,-,-,-,0x44A00A20,0x0000100A,-,-,-
0,0,init_vlan_10_20,2,Set_Member_Port_10,RegWrite,-,-,-,-,0x44A00A24,0x00000007,-,-,-
0,0,init_vlan_10_20,3,Write_CMD,RegWrite,-,-,-,-,0x44A00A2C,0x00000024,-,-,-
0,0,init_vlan_10_20,4,Check_Done,RegVerify,-,-,-,-,0x44A00A44,-,0x00000004,0x00000004,500ms
0,0,init_vlan_10_20,5,Set_VLAN_20,RegWrite,-,-,-,-,0x44A00A20,0x00001014,-,-,-
0,0,init_vlan_10_20,6,Set_Member_Port_20,RegWrite,-,-,-,-,0x44A00A24,0x00000038,-,-,-
0,0,init_vlan_10_20,7,Write_CMD_2,RegWrite,-,-,-,-,0x44A00A2C,0x00000024,-,-,-
0,0,init_vlan_10_20,8,Check_Done_2,RegVerify,-,-,-,-,0x44A00A44,-,0x00000004,0x00000004,500ms
0,0,init_link_check,0,Port0_MDIO_Enable,RegWrite,-,-,-,-,0x44A00080,0x00610000,-,-,-
0,0,init_link_check,1,Port1_MDIO_Enable,RegWrite,-,-,-,-,0x44A000C0,0x00610000,-,-,-
0,0,init_link_check,2,Port2_MDIO_Enable,RegWrite,-,-,-,-,0x44A00100,0x00610000,-,-,-
0,0,init_link_check,3,Port3_MDIO_Enable,RegWrite,-,-,-,-,0x44A00140,0x00610000,-,-,-
0,0,init_link_check,4,Port4_MDIO_Enable,RegWrite,-,-,-,-,0x44A00180,0x00610000,-,-,-
0,0,init_link_check,5,Port5_MDIO_Enable,RegWrite,-,-,-,-,0x44A001C0,0x00610000,-,-,-
